,home,place,match_id,team_name,score,overs,rr,bata,batsr,bbp,balla,eco,ballsr,dbp,wickets_lost,sum_extras,nb,w,lb,pen,b,datetime,winner
86,1,SCG,920,England,101,18.1,5.55,101.0,81.65666666666667,37.00623700623701,16.6,2.862,35.0,72.43734335839599,1,4,0.0,1.0,3.0,0.0,0.0,2015-03-13 03:30:00,1
87,0,SCG,920,Afghanistan,111,36.2,3.05,15.857142857142858,46.78777777777778,27.41129785247432,17.0,6.034,30.0,53.61111111111111,7,12,0.0,6.0,6.0,0.0,0.0,2015-03-13 03:30:00,0
88,1,Pallekele International Cricket Stadium,100567,Sri Lanka,220,47.4,4.61,24.444444444444443,73.28363636363635,41.31222313040495,12.666666666666666,4.87,16.25,55.7308201058201,9,8,0.0,3.0,5.0,0.0,0.0,2022-06-16 09:00:00,1
89,0,Pallekele International Cricket Stadium,100567,Australia,189,37.1,5.08,18.9,83.5,43.83363600754905,27.0625,4.723333333333334,33.25,54.496336996337,10,13,0.0,8.0,5.0,0.0,0.0,2022-06-16 09:00:00,0
90,1,R.Premadasa Stadium,100568,Sri Lanka,292,48.3,6.02,73.0,78.15285714285714,38.25876682257251,39.08333333333333,6.478571428571428,41.0,40.77380952380953,4,5,0.0,2.0,1.0,0.0,2.0,2022-06-19 09:00:00,1
91,0,R.Premadasa Stadium,100568,Australia,291,50,5.82,48.5,97.77625,44.03789432313189,40.16666666666666,6.387142857142857,42.0,42.18999880654017,6,14,3.0,2.0,4.0,0.0,5.0,2022-06-19 09:00:00,0
92,1,R.Premadasa Stadium,100569,Sri Lanka,258,49,5.26,25.8,58.28818181818181,25.32679441770351,28.142857142857142,6.11375,32.57142857142857,52.73809523809524,10,9,1.0,6.0,2.0,0.0,0.0,2022-06-21 09:00:00,1
93,0,R.Premadasa Stadium,100569,Australia,254,50,5.08,25.4,65.44272727272727,27.92022437955452,27.5,5.395714285714286,30.0,46.80083144368859,10,5,1.0,3.0,1.0,0.0,0.0,2022-06-21 09:00:00,0
94,1,R.Premadasa Stadium,100570,Sri Lanka,160,43.1,3.7,16.0,62.09909090909091,36.67199467199467,13.333333333333334,4.466666666666666,22.666666666666668,58.13840155945419,10,3,0.0,3.0,0.0,0.0,0.0,2022-06-24 09:00:00,0
95,0,R.Premadasa Stadium,100570,Australia,164,39.3,4.15,27.33333333333333,66.99125000000001,45.83691756272401,17.2,3.962857142857143,28.2,67.23356009070294,6,8,0.0,8.0,0.0,0.0,0.0,2022-06-24 09:00:00,1
96,1,Pallekele International Cricket Stadium,100571,Sri Lanka,300,50,6.0,42.85714285714285,99.33375,48.46588188157956,29.25,6.174285714285714,26.625,44.55653473510616,7,9,0.0,6.0,2.0,0.0,1.0,2022-06-14 09:00:00,0
